Timer; Mag_X;Mag_Y;Mag_Z;Light ;Position
94184;-31;10;-100;449280;0,60
94229;-31;10;-100;443520;0,60
94273;-31;8;-102;443520;0,59
94318;-31;8;-102;443520;0,59
94362;-31;8;-103;443520;0,58
94407;-31;8;-103;443520;0,58
94451;-30;8;-105;440640;0,58
94496;-30;8;-105;440640;0,57
94540;-30;8;-105;434880;0,57
94585;-31;8;-107;434880;0,57
94629;-31;8;-107;432000;0,56
94674;-30;10;-109;432000;0,56
94718;-30;10;-109;432000;0,55
94763;-30;7;-110;432000;0,55
94807;-30;7;-110;432000;0,55
94852;-29;7;-111;429120;0,54
94896;-29;7;-111;429120;0,54
94942;-29;7;-111;423360;0,53
94987;-28;7;-113;423360;0,53
95032;-28;7;-113;420480;0,53
95076;-28;8;-113;420480;0,52
95121;-28;8;-113;420480;0,52
95165;-28;8;-116;417600;0,52
95210;-28;8;-116;417600;0,51
95254;-27;7;-117;411840;0,51
95299;-27;7;-117;411840;0,50
95343;-27;7;-117;408960;0,50
95388;-27;6;-119;408960;0,50
95432;-27;6;-119;403200;0,49
95477;-27;6;-121;403200;0,49
95521;-27;6;-121;403200;0,48
95566;-26;4;-122;403200;0,48
95610;-26;4;-122;403200;0,48
95655;-24;6;-125;403200;0,47
95699;-24;6;-125;403200;0,47
95745;-24;6;-125;400320;0,47
95790;-24;7;-126;400320;0,46
95834;-24;7;-126;394560;0,46
95879;-23;5;-128;394560;0,45
95923;-23;5;-128;394560;0,45
95968;-22;6;-131;391680;0,45
96012;-22;6;-131;391680;0,44
96057;-22;4;-135;383040;0,44
96101;-22;4;-135;383040;0,43
96146;-22;4;-135;380160;0,43
96190;-21;3;-135;380160;0,43
96234;-21;3;-135;374400;0,42
96279;-21;4;-138;374400;0,42
96323;-21;4;-138;374400;0,42
96368;-20;2;-140;371520;0,41
96412;-20;2;-140;371520;0,41
96457;-19;2;-142;368640;0,40
96503;-19;2;-142;368640;0,40
96547;-19;2;-142;368640;0,40
96592;-18;1;-146;368640;0,39
96636;-18;1;-146;365760;0,39
96681;-18;3;-146;365760;0,38
96725;-18;3;-146;365760;0,38
96770;-16;2;-150;362880;0,38
96814;-16;2;-150;362880;0,37
96859;-14;0;-154;362880;0,37
96903;-14;0;-154;362880;0,37
96948;-14;0;-154;360000;0,36
96992;-14;1;-156;360000;0,36
97037;-14;1;-156;357120;0,35
97081;-13;-1;-159;357120;0,35
97126;-13;-1;-159;357120;0,35
97171;-12;-1;-161;357120;0,34
97216;-12;-1;-161;357120;0,34
97260;-11;-2;-165;357120;0,33
97306;-11;-2;-165;357120;0,33
97351;-11;-2;-165;360000;0,33
97395;-10;-3;-167;360000;0,32
97440;-10;-3;-167;360000;0,32
97484;-9;-4;-169;360000;0,32
97529;-9;-4;-169;360000;0,31
97573;-7;-4;-171;360000;0,31
97618;-7;-4;-171;360000;0,30
97662;-7;-5;-176;360000;0,30
97707;-7;-5;-176;360000;0,30
97752;-7;-5;-176;357120;0,29
97800;-6;-5;-178;357120;0,29
98051;-3;-6;-186;351360;0,28
98095;-2;-8;-190;351360;0,28
98140;-2;-8;-190;348480;0,28
98184;0;-8;-193;348480;0,27
98229;0;-8;-193;348480;0,27
98275;1;-9;-197;348480;0,27
98319;1;-9;-197;348480;0,26
98364;4;-11;-202;345600;0,26
98408;4;-11;-202;345600;0,25
98453;4;-11;-202;342720;0,25
98497;6;-12;-207;342720;0,25
98542;6;-12;-207;339840;0,24
98586;7;-12;-210;339840;0,24
98631;7;-12;-210;339840;0,23
98675;8;-15;-214;339840;0,23
98720;8;-15;-214;339840;0,23
98765;10;-15;-219;339840;0,22
98809;10;-15;-219;339840;0,22
98854;10;-15;-219;339840;0,22
98898;12;-17;-224;339840;0,21
98943;12;-17;-224;339840;0,21
98987;14;-17;-230;339840;0,20
99032;14;-17;-230;339840;0,20
99078;16;-19;-232;339840;0,20
99122;16;-19;-232;339840;0,19
99166;19;-20;-237;336960;0,19
99211;19;-20;-237;336960;0,18
99255;19;-20;-237;336960;0,18
99300;21;-20;-244;336960;0,18
99344;21;-20;-244;334080;0,17
99389;22;-21;-250;334080;0,17
99434;22;-21;-250;334080;0,17
99478;25;-24;-256;334080;0,16
99523;25;-24;-256;334080;0,16
99567;27;-25;-260;334080;0,15
99611;27;-25;-260;334080;0,15
99656;27;-25;-260;331200;0,15
99700;30;-27;-268;331200;0,14
99745;30;-27;-268;328320;0,14
99789;33;-31;-275;328320;0,13
99846;33;-31;-275;325440;0,13
99890;37;-32;-282;325440;0,13
99935;37;-32;-282;325440;0,12
99979;38;-34;-289;325440;0,12
100023;38;-34;-289;325440;0,12
100067;41;-36;-294;322560;0,11
100111;41;-36;-294;322560;0,11
100156;41;-36;-294;319680;0,10
100200;45;-39;-305;319680;0,10
100244;45;-39;-305;319680;0,10
100288;51;-43;-318;319680;0,09
100332;51;-43;-318;319680;0,09
100376;53;-46;-323;319680;0,08
100420;53;-46;-323;319680;0,08
100464;53;-46;-323;316800;0,08
100509;55;-48;-329;316800;0,07
100553;55;-48;-329;316800;0,07
100599;57;-49;-333;316800;0,07
100643;57;-49;-333;316800;0,06
100688;65;-53;-349;316800;0,06
100733;65;-53;-349;316800;0,05
100777;73;-62;-366;313920;0,05
100822;73;-62;-366;313920;0,05
100866;73;-62;-366;313920;0,04
100911;79;-64;-375;313920;0,04
100955;79;-64;-375;308160;0,03
101000;84;-70;-390;308160;0,03
101044;84;-70;-390;305280;0,03
101089;91;-75;-402;305280;0,02
101133;91;-75;-402;305280;0,02
101178;104;-86;-428;305280;0,02
101222;104;-86;-428;305280;0,01
101267;104;-86;-428;299520;0,01
101313;110;-91;-440;299520;0,00
101357;110;-91;-440;299520;0,00
101402;116;-96;-450;299520;0,00
101446;116;-96;-450;296640;0,00
101491;126;-106;-466;296640;0,00
101536;126;-106;-466;296640;0,00
101580;129;-107;-470;296640;0,00
101625;129;-107;-470;296640;0,00
101669;129;-107;-470;296640;0,00
101714;129;-107;-472;296640;0,00
101758;129;-107;-472;296640;0,00
101803;130;-107;-471;296640;0,00
101847;130;-107;-471;296640;0,00
101892;130;-107;-472;296640;0,00
101936;130;-107;-472;296640;0,00
101981;129;-108;-472;296640;0,00
102028;129;-108;-472;296640;0,00
102072;130;-106;-471;296640;0,00
102117;130;-106;-471;296640;0,00
102162;130;-106;-471;296640;0,00
102206;129;-108;-472;296640;0,00
102251;129;-108;-472;296640;0,00
102295;131;-107;-473;296640;0,00
102340;131;-107;-473;296640;0,00
102384;129;-108;-472;296640;0,00
102429;129;-108;-472;296640;0,00
102473;129;-108;-472;296640;0,00
102518;129;-108;-472;296640;0,00
102562;129;-108;-472;296640;0,00
102607;130;-107;-471;296640;0,00
102651;130;-107;-471;296640;0,00
102698;130;-108;-472;296640;0,00
102742;130;-108;-472;296640;0,00
102787;130;-107;-474;296640;0,00
102831;130;-107;-474;296640;0,00
102876;129;-108;-472;296640;0,00
102920;129;-108;-472;296640;0,00
102965;129;-108;-472;296640;0,00
103009;131;-108;-473;296640;0,00
103054;131;-108;-473;296640;0,00
103098;131;-108;-472;296640;0,00
103143;131;-108;-472;296640;0,00
103187;130;-107;-472;296640;0,00
103232;130;-107;-472;296640;0,00
103277;130;-108;-474;296640;0,00
103321;130;-108;-474;296640;0,00
103366;130;-108;-474;296640;0,00
103412;130;-108;-474;296640;0,00
103456;130;-108;-474;296640;0,00
103501;131;-108;-473;296640;0,00
103545;131;-108;-473;296640;0,00
103590;130;-108;-473;296640;0,00
103634;130;-108;-473;296640;0,00
103679;130;-108;-473;296640;0,00
103723;130;-108;-473;296640;0,00
103768;130;-108;-473;296640;0,00
103813;130;-109;-473;296640;0,00
103857;130;-109;-473;296640;0,00
103902;131;-108;-473;296640;0,00
103946;131;-108;-473;296640;0,00
103991;131;-108;-475;296640;0,00
104035;131;-108;-475;296640;0,00
104081;131;-108;-474;296640;0,00
104126;131;-108;-474;296640;0,00
104170;131;-108;-474;296640;0,00
104215;127;-107;-473;296640;0,00
104259;127;-107;-473;296640;0,00
104304;130;-107;-473;296640;0,00
104349;130;-107;-473;296640;0,00
104393;129;-107;-472;296640;0,00
104438;129;-107;-472;296640;0,00
104482;130;-108;-472;296640;0,00
104527;130;-108;-472;296640;0,00
104571;130;-108;-472;296640;0,00
104616;130;-108;-473;296640;0,00
104660;130;-108;-473;296640;0,00
104705;130;-106;-474;296640;0,00
104749;130;-106;-474;296640;0,00
104795;131;-107;-473;296640;0,00
104840;131;-107;-473;296640;0,00
104884;131;-107;-474;296640;0,00
104928;131;-107;-474;296640;0,00
104973;131;-107;-474;296640;0,00
105017;130;-108;-474;296640;0,00
105062;130;-108;-474;296640;0,00
105106;130;-109;-473;296640;0,00
105151;130;-109;-473;296640;0,00
105195;130;-107;-473;296640;0,00
105239;130;-107;-473;296640;0,00
105284;131;-107;-473;296640;0,00
105328;131;-107;-473;296640;0,00
105373;131;-107;-473;296640;0,00
105417;129;-110;-473;296640;0,00
105463;129;-110;-473;296640;0,00
105507;130;-108;-473;296640;0,00
105552;130;-108;-473;296640;0,00
105596;130;-107;-475;296640;0,00
105641;130;-107;-475;296640;0,00
105685;130;-108;-473;296640;0,00
105729;130;-108;-473;296640;0,00
105774;130;-108;-473;296640;0,00
105818;130;-108;-473;296640;0,00
105863;130;-108;-473;296640;0,00
105907;130;-108;-473;296640;0,00
105951;130;-108;-473;296640;0,00
105996;131;-108;-473;296640;0,00
106040;131;-108;-473;296640;0,00
106086;129;-108;-473;296640;0,00
106130;129;-108;-473;296640;0,00
106176;129;-108;-473;296640;0,00
106221;129;-107;-474;296640;0,00
106265;129;-107;-474;296640;0,00
106310;131;-108;-472;296640;0,00
106354;131;-108;-472;296640;0,00
106399;131;-108;-474;296640;0,00
106443;131;-108;-474;296640;0,00
106488;131;-108;-474;296640;0,00
106532;131;-108;-474;296640;0,00
106577;131;-108;-474;296640;0,00
106621;130;-108;-474;296640;0,00
106666;130;-108;-474;296640;0,00
106710;131;-107;-474;296640;0,00
106755;131;-107;-474;296640;0,00
106800;131;-108;-474;296640;0,00
106846;131;-108;-474;296640;0,00
106890;131;-109;-473;296640;0,00
106935;131;-109;-473;296640;0,00
